,Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,Pin code,Output,Feedback
0,20,2,1,1,1,3,4,560001,Yes,1
1,24,2,1,1,2,2,3,560009,Yes,1
2,22,1,1,1,2,3,3,560017,Yes,0
3,22,2,1,1,1,2,6,560019,Yes,1
4,22,1,1,1,2,3,4,560010,Yes,1
5,27,2,2,4,3,3,2,560103,Yes,1
6,22,1,1,1,1,2,3,560009,Yes,1
7,24,2,1,1,1,3,3,560042,Yes,1
8,23,2,1,1,1,3,2,560001,Yes,1
9,23,2,1,1,1,3,4,560048,Yes,1
10,22,2,1,1,1,3,5,560010,Yes,1
11,23,1,1,1,2,3,2,560009,Yes,0
12,23,1,1,1,1,3,5,560078,Yes,1
13,21,1,1,1,1,2,4,560009,Yes,1
14,23,2,1,3,4,3,5,560004,Yes,1
15,24,2,1,1,1,3,6,560068,Yes,1
16,28,2,1,4,5,3,2,560038,Yes,1
17,23,2,1,1,1,2,3,560008,Yes,0
18,25,1,1,1,1,2,4,560078,Yes,0
19,21,2,1,1,2,3,1,560038,Yes,1
20,24,1,1,1,1,3,3,560009,Yes,1
21,22,1,1,1,1,3,4,560032,Yes,1
22,22,2,1,1,1,2,4,560033,Yes,1
23,23,1,1,1,1,2,4,560021,Yes,1
24,21,1,1,1,2,3,3,560085,Yes,1
25,25,1,1,1,1,3,3,560008,Yes,1
26,22,2,1,1,1,3,5,560050,Yes,1
27,22,1,1,1,1,3,3,560098,Yes,1
28,23,2,1,4,4,2,3,560048,Yes,1
29,22,1,1,1,2,3,4,560003,Yes,1
30,22,2,1,4,4,2,5,560066,Yes,1
31,22,1,1,1,1,3,4,560038,Yes,1
32,25,1,2,4,3,4,4,560034,Yes,1
33,22,2,1,1,4,3,5,560010,Yes,1
34,22,2,1,1,1,3,2,560102,Yes,1
35,25,1,1,1,4,3,3,560085,Yes,1
36,25,1,1,1,1,3,5,560009,No,1
37,32,2,0,2,1,2,5,560008,Yes,0
38,23,2,1,1,1,3,3,560004,Yes,1
39,23,2,1,1,1,3,4,560078,Yes,1
40,30,1,2,3,3,0,4,560025,Yes,0
41,23,1,1,1,1,2,3,560026,Yes,1
42,23,1,1,1,1,3,4,560021,Yes,1
43,22,2,1,1,1,3,5,560010,Yes,1
44,22,1,1,1,1,2,5,560010,Yes,1
45,27,2,2,3,4,3,2,560034,Yes,1
46,24,2,1,1,1,3,3,560009,Yes,1
47,23,1,1,1,1,3,2,560009,Yes,1
48,23,2,1,1,1,2,3,560008,Yes,0
49,22,2,1,1,4,3,5,560010,Yes,1
50,23,2,1,1,1,2,5,560043,Yes,1
51,23,2,1,1,1,3,2,560009,Yes,1
52,24,1,1,1,1,3,3,560009,Yes,1
53,25,1,1,1,1,3,2,560002,Yes,1
54,22,1,1,1,1,3,3,560085,Yes,1
55,28,2,2,1,1,2,2,560086,Yes,1
56,22,2,1,1,1,3,1,560076,Yes,1
57,24,2,1,1,1,2,3,560009,Yes,1
58,31,1,2,4,3,4,5,560102,Yes,1
59,25,1,1,1,1,3,4,560086,Yes,1
60,23,1,1,1,1,3,5,560078,Yes,1
61,22,1,1,1,1,3,3,560076,Yes,1
62,23,1,1,1,5,3,1,560096,Yes,1
63,23,1,1,1,1,2,4,560029,Yes,1
64,23,2,1,1,1,3,2,560003,Yes,1
65,25,1,1,1,1,3,6,560046,Yes,1
66,24,1,1,4,4,2,4,560030,Yes,1
67,23,2,1,1,1,3,4,560024,Yes,1
68,23,2,1,1,1,3,4,560024,Yes,1
69,24,2,2,4,3,4,4,560004,Yes,1
70,22,1,1,1,1,2,4,560020,Yes,1
71,24,2,1,1,4,3,3,560028,No,1
72,25,2,1,1,1,3,3,560001,Yes,1
73,23,1,1,1,1,3,2,560076,Yes,1
74,26,1,1,1,1,3,4,560003,Yes,1
75,24,2,1,1,5,3,3,560064,Yes,1
76,26,1,1,1,1,3,4,560036,Yes,1
77,21,1,1,1,1,2,4,560009,Yes,1
78,22,2,1,1,1,3,3,560009,Yes,1
79,24,1,1,1,1,3,5,560011,Yes,1
80,24,1,1,1,4,3,4,560061,Yes,1
81,23,2,1,1,1,3,3,560009,Yes,1
82,23,1,1,1,1,3,3,560029,Yes,1
83,22,1,1,1,1,3,3,560004,Yes,1
84,23,1,1,1,1,3,3,560009,Yes,1
85,24,2,1,1,1,3,4,560038,Yes,1
86,24,1,1,1,1,3,5,560011,Yes,1
87,25,1,1,1,1,2,1,560009,Yes,1
88,25,1,1,1,1,3,5,560009,No,1
89,28,1,2,3,4,2,2,560022,No,0
90,27,2,0,4,5,3,5,560022,No,1
91,26,1,1,3,4,4,1,560066,No,1
92,22,1,1,1,1,3,2,560009,Yes,1
93,24,2,1,1,1,3,3,560009,Yes,1
94,23,1,1,1,1,3,1,560027,Yes,1
95,25,1,1,1,1,2,1,560009,Yes,1
96,23,2,1,1,1,2,5,560043,Yes,1
97,23,2,1,1,1,2,5,560043,Yes,1
98,26,1,2,4,5,2,5,560007,No,1
99,32,2,2,2,1,0,3,560012,No,1
100,24,2,1,1,4,3,3,560028,No,1
101,23,1,1,1,1,3,2,560030,Yes,1
102,22,2,1,4,4,2,3,560066,Yes,1
103,24,2,1,1,1,4,3,560004,Yes,1
104,26,1,1,4,5,2,2,560034,Yes,0
105,28,1,2,4,3,2,3,560066,No,1
106,26,1,1,4,3,3,2,560066,No,1
107,25,1,1,1,1,3,1,560029,Yes,1
108,25,1,1,4,2,2,2,560066,No,1
109,18,1,1,1,1,2,5,560002,Yes,1
110,21,1,1,1,1,3,4,560009,Yes,1
111,25,1,1,1,1,3,1,560029,Yes,1
112,25,1,1,1,2,3,2,560021,Yes,1
113,23,2,1,1,1,2,5,560043,Yes,1
114,23,1,1,4,4,3,2,560010,Yes,1
115,25,2,2,4,5,2,4,560017,No,0
116,31,2,2,2,1,1,5,560022,Yes,1
117,24,1,0,3,3,4,2,560006,No,1
118,32,2,2,4,5,2,5,560034,Yes,1
119,25,1,1,4,5,2,3,560001,Yes,1
120,27,2,2,3,3,2,5,560001,No,1
121,26,1,1,3,5,2,3,560001,Yes,1
122,26,2,1,3,5,3,3,560002,Yes,1
123,32,1,2,4,3,4,5,560002,Yes,0
124,24,1,2,3,3,4,6,560002,No,0
125,27,2,2,3,5,2,3,560002,Yes,1
126,23,1,1,1,1,3,3,560009,Yes,1
127,25,1,1,1,1,3,4,560009,Yes,1
128,23,1,1,1,1,3,3,560009,Yes,1
129,23,2,1,1,1,3,4,560024,Yes,1
130,28,1,2,4,3,3,3,560003,Yes,1
131,32,2,2,4,3,2,1,560003,No,1
132,23,1,1,1,1,3,2,560003,Yes,1
133,19,1,1,1,1,2,2,560003,No,0
134,19,2,1,1,1,2,4,560047,Yes,1
135,27,2,2,4,5,3,2,560066,No,1
136,25,1,1,3,5,2,3,560005,Yes,1
137,33,1,2,4,3,4,5,560005,No,0
138,26,2,1,4,3,2,3,560005,Yes,1
139,22,2,1,1,2,3,4,560029,Yes,1
140,23,1,1,1,1,3,3,560064,No,1
141,22,2,1,1,1,2,3,560096,Yes,0
142,25,1,2,4,5,2,2,560005,Yes,1
143,30,2,2,2,1,1,5,560005,Yes,1
144,24,1,1,1,1,3,3,560006,No,0
145,25,1,1,4,4,3,3,560006,Yes,1
146,23,1,1,1,3,3,3,560009,Yes,1
147,24,2,1,1,1,3,4,560073,Yes,1
148,32,1,2,4,4,2,4,560038,Yes,1
149,22,1,1,1,1,3,4,560020,Yes,1
150,23,1,1,1,3,3,3,560009,Yes,1
151,23,2,1,1,1,3,4,560024,Yes,1
152,20,1,1,1,1,2,2,560007,Yes,1
153,21,1,1,1,1,2,2,560007,Yes,1
154,24,2,2,3,4,2,5,560007,Yes,1
155,23,2,1,1,1,3,4,560024,Yes,1
156,25,1,1,4,5,3,3,560010,Yes,1
157,32,2,2,2,1,2,3,560010,Yes,1
158,27,1,2,4,3,4,5,560010,No,0
159,20,2,1,1,1,2,2,560011,Yes,1
160,21,1,1,1,1,2,2,560011,Yes,1
161,26,1,1,4,3,3,3,560011,No,0
162,25,1,1,4,4,2,4,560016,Yes,1
163,26,1,1,4,5,3,3,560012,Yes,1
164,26,2,2,4,5,2,3,560012,Yes,1
165,27,1,1,4,3,4,4,560013,No,1
166,27,2,1,1,1,4,5,560013,No,0
167,24,2,1,1,1,3,5,560051,Yes,1
168,25,1,2,3,3,1,2,560015,Yes,1
169,20,1,1,1,1,2,2,560015,No,0
170,22,1,1,1,1,3,1,560015,Yes,1
171,26,2,2,1,2,4,3,560016,Yes,1
172,27,1,0,4,5,3,1,560016,Yes,1
173,25,2,1,1,1,3,3,560017,Yes,1
174,24,1,1,4,2,2,2,560017,Yes,1
175,23,2,1,4,4,2,6,560017,Yes,1
176,22,1,1,1,1,2,2,560018,No,1
177,26,1,2,3,3,3,3,560018,No,0
178,26,1,1,4,2,3,1,560018,Yes,0
179,25,2,2,3,5,3,3,560018,No,1
